FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
56,Wyoming,2007,2,"400,707   ","289,039   ",72.1,"281,520   ",70.3,"7,519   ",2.6
1,Alabama,2007,3,"3,547,626   ","2,182,257   ",61.5,"2,098,155   ",59.1,"84,102   ",3.9
2,Alaska,2007,3,"494,382   ","349,471   ",70.7,"327,774   ",66.3,"21,697   ",6.2
4,Arizona,2007,3,"4,724,746   ","3,015,955   ",63.8,"2,902,281   ",61.4,"113,674   ",3.8
5,Arkansas,2007,3,"2,159,672   ","1,350,887   ",62.6,"1,279,107   ",59.2,"71,780   ",5.3
6,California,2007,3,"27,186,717   ","17,837,732   ",65.6,"16,944,145   ",62.3,"893,587   ",5.0
8,Colorado,2007,3,"3,671,548   ","2,664,085   ",72.6,"2,572,031   ",70.1,"92,054   ",3.5
9,Connecticut,2007,3,"2,703,036   ","1,850,803   ",68.5,"1,770,914   ",65.5,"79,889   ",4.3
10,Delaware,2007,3,"665,035   ","444,654   ",66.9,"428,670   ",64.5,"15,984   ",3.6
11,District of Columbia,2007,3,"472,257   ","325,327   ",68.9,"305,806   ",64.8,"19,521   ",6.0
12,Florida,2007,3,"14,291,739   ","9,099,437   ",63.7,"8,839,277   ",61.8,"260,160   ",2.9
13,Georgia,2007,3,"7,028,941   ","4,787,416   ",68.1,"4,560,839   ",64.9,"226,577   ",4.7
15,Hawaii,2007,3,"966,129   ","638,441   ",66.1,"622,449   ",64.4,"15,992   ",2.5
16,Idaho,2007,3,"1,105,085   ","752,994   ",68.1,"731,466   ",66.2,"21,528   ",2.9
17,Illinois,2007,3,"9,721,893   ","6,594,491   ",67.8,"6,283,126   ",64.6,"311,365   ",4.7
18,Indiana,2007,3,"4,824,188   ","3,208,405   ",66.5,"3,063,073   ",63.5,"145,332   ",4.5
19,Iowa,2007,3,"2,301,493   ","1,659,975   ",72.1,"1,598,932   ",69.5,"61,043   ",3.7
20,Kansas,2007,3,"2,091,299   ","1,484,163   ",71.0,"1,421,613   ",68.0,"62,550   ",4.2
21,Kentucky,2007,3,"3,265,475   ","2,043,296   ",62.6,"1,934,313   ",59.2,"108,983   ",5.3
22,Louisiana,2007,3,"3,263,490   ","2,023,695   ",62.0,"1,937,949   ",59.4,"85,746   ",4.2
23,Maine,2007,3,"1,054,996   ","701,102   ",66.5,"669,145   ",63.4,"31,957   ",4.6
24,Maryland,2007,3,"4,316,235   ","2,985,200   ",69.2,"2,871,826   ",66.5,"113,374   ",3.8
25,Massachusetts,2007,3,"5,120,326   ","3,433,170   ",67.0,"3,277,638   ",64.0,"155,532   ",4.5
26,Michigan,2007,3,"7,772,871   ","5,009,740   ",64.5,"4,664,185   ",60.0,"345,555   ",6.9
27,Minnesota,2007,3,"4,000,855   ","2,902,138   ",72.5,"2,774,014   ",69.3,"128,124   ",4.4
28,Mississippi,2007,3,"2,166,767   ","1,290,406   ",59.6,"1,208,538   ",55.8,"81,868   ",6.3
29,Missouri,2007,3,"4,519,323   ","3,054,108   ",67.6,"2,907,025   ",64.3,"147,083   ",4.8
30,Montana,2007,3,"747,297   ","502,396   ",67.2,"487,908   ",65.3,"14,488   ",2.9
31,Nebraska,2007,3,"1,339,583   ","975,800   ",72.8,"948,254   ",70.8,"27,546   ",2.8
32,Nevada,2007,3,"1,923,771   ","1,334,075   ",69.3,"1,277,645   ",66.4,"56,430   ",4.2
33,New Hampshire,2007,3,"1,039,913   ","737,807   ",70.9,"710,760   ",68.3,"27,047   ",3.7
34,New Jersey,2007,3,"6,676,154   ","4,429,421   ",66.3,"4,248,592   ",63.6,"180,829   ",4.1
35,New Mexico,2007,3,"1,476,898   ","919,257   ",62.2,"886,141   ",60.0,"33,116   ",3.6
36,New York,2007,3,"15,163,922   ","9,488,991   ",62.6,"9,088,533   ",59.9,"400,458   ",4.2
37,North Carolina,2007,3,"6,834,842   ","4,517,170   ",66.1,"4,295,713   ",62.9,"221,457   ",4.9
38,North Dakota,2007,3,"495,105   ","367,245   ",74.2,"356,219   ",71.9,"11,026   ",3.0
39,Ohio,2007,3,"8,887,255   ","6,018,863   ",67.7,"5,688,428   ",64.0,"330,435   ",5.5
40,Oklahoma,2007,3,"2,708,997   ","1,725,376   ",63.7,"1,654,906   ",61.1,"70,470   ",4.1
41,Oregon,2007,3,"2,911,736   ","1,906,174   ",65.5,"1,811,295   ",62.2,"94,879   ",5.0
42,Pennsylvania,2007,3,"9,810,236   ","6,325,867   ",64.5,"6,049,127   ",61.7,"276,740   ",4.4
44,Rhode Island,2007,3,"837,327   ","571,668   ",68.3,"544,930   ",65.1,"26,738   ",4.7
45,South Carolina,2007,3,"3,354,308   ","2,167,855   ",64.6,"2,034,333   ",60.6,"133,522   ",6.2
46,South Dakota,2007,3,"602,607   ","436,036   ",72.4,"423,614   ",70.3,"12,422   ",2.8
47,Tennessee,2007,3,"4,740,652   ","3,044,434   ",64.2,"2,911,363   ",61.4,"133,071   ",4.4
48,Texas,2007,3,"17,286,779   ","11,408,395   ",66.0,"10,909,724   ",63.1,"498,671   ",4.4
49,Utah,2007,3,"1,874,494   ","1,370,319   ",73.1,"1,337,078   ",71.3,"33,241   ",2.4
50,Vermont,2007,3,"501,453   ","354,803   ",70.8,"341,022   ",68.0,"13,781   ",3.9
51,Virginia,2007,3,"5,837,444   ","4,020,557   ",68.9,"3,894,124   ",66.7,"126,433   ",3.1
53,Washington,2007,3,"4,979,787   ","3,379,685   ",67.9,"3,226,114   ",64.8,"153,571   ",4.5
54,West Virginia,2007,3,"1,442,984   ","802,527   ",55.6,"763,964   ",52.9,"38,563   ",4.8
55,Wisconsin,2007,3,"4,347,897   ","3,084,887   ",71.0,"2,938,058   ",67.6,"146,829   ",4.8
56,Wyoming,2007,3,"401,306   ","289,270   ",72.1,"281,824   ",70.2,"7,446   ",2.6
1,Alabama,2007,4,"3,550,367   ","2,179,466   ",61.4,"2,094,744   ",59.0,"84,722   ",3.9
2,Alaska,2007,4,"494,816   ","349,168   ",70.6,"327,497   ",66.2,"21,671   ",6.2
4,Arizona,2007,4,"4,735,194   ","3,013,261   ",63.6,"2,902,557   ",61.3,"110,704   ",3.7
5,Arkansas,2007,4,"2,161,464   ","1,349,996   ",62.5,"1,277,800   ",59.1,"72,196   ",5.3
6,California,2007,4,"27,208,433   ","17,848,998   ",65.6,"16,944,007   ",62.3,"904,991   ",5.1
8,Colorado,2007,4,"3,677,433   ","2,666,633   ",72.5,"2,575,603   ",70.0,"91,030   ",3.4
9,Connecticut,2007,4,"2,703,993   ","1,851,481   ",68.5,"1,771,391   ",65.5,"80,090   ",4.3
10,Delaware,2007,4,"665,843   ","444,310   ",66.7,"428,349   ",64.3,"15,961   ",3.6
11,District of Columbia,2007,4,"472,521   ","325,132   ",68.8,"305,789   ",64.7,"19,343   ",5.9
12,Florida,2007,4,"14,305,044   ","9,103,305   ",63.6,"8,834,580   ",61.8,"268,725   ",3.0
13,Georgia,2007,4,"7,042,417   ","4,789,823   ",68.0,"4,562,579   ",64.8,"227,244   ",4.7
15,Hawaii,2007,4,"966,815   ","637,218   ",65.9,"620,930   ",64.2,"16,288   ",2.6
16,Idaho,2007,4,"1,107,207   ","753,743   ",68.1,"732,433   ",66.2,"21,310   ",2.8
17,Illinois,2007,4,"9,727,632   ","6,601,114   ",67.9,"6,284,088   ",64.6,"317,026   ",4.8
18,Indiana,2007,4,"4,827,419   ","3,198,676   ",66.3,"3,055,662   ",63.3,"143,014   ",4.5
19,Iowa,2007,4,"2,302,638   ","1,658,797   ",72.0,"1,597,745   ",69.4,"61,052   ",3.7
20,Kansas,2007,4,"2,092,707   ","1,483,334   ",70.9,"1,421,088   ",67.9,"62,246   ",4.2
21,Kentucky,2007,4,"3,267,511   ","2,039,096   ",62.4,"1,931,178   ",59.1,"107,918   ",5.3
22,Louisiana,2007,4,"3,271,780   ","2,022,494   ",61.8,"1,936,224   ",59.2,"86,270   ",4.3
23,Maine,2007,4,"1,055,438   ","699,674   ",66.3,"667,728   ",63.3,"31,946   ",4.6
24,Maryland,2007,4,"4,318,781   ","2,981,141   ",69.0,"2,870,098   ",66.5,"111,043   ",3.7
25,Massachusetts,2007,4,"5,123,854   ","3,432,208   ",67.0,"3,277,798   ",64.0,"154,410   ",4.5
26,Michigan,2007,4,"7,773,549   ","5,000,964   ",64.3,"4,656,111   ",59.9,"344,853   ",6.9
27,Minnesota,2007,4,"4,004,225   ","2,899,693   ",72.4,"2,770,677   ",69.2,"129,016   ",4.4
28,Mississippi,2007,4,"2,168,121   ","1,288,973   ",59.5,"1,208,054   ",55.7,"80,919   ",6.3
29,Missouri,2007,4,"4,522,851   ","3,052,781   ",67.5,"2,904,486   ",64.2,"148,295   ",4.9
30,Montana,2007,4,"748,152   ","503,141   ",67.3,"488,072   ",65.2,"15,069   ",3.0
31,Nebraska,2007,4,"1,340,253   ","976,138   ",72.8,"948,372   ",70.8,"27,766   ",2.8
32,Nevada,2007,4,"1,928,351   ","1,336,648   ",69.3,"1,279,106   ",66.3,"57,542   ",4.3
33,New Hampshire,2007,4,"1,040,733   ","737,554   ",70.9,"710,853   ",68.3,"26,701   ",3.6
34,New Jersey,2007,4,"6,678,395   ","4,425,655   ",66.3,"4,244,696   ",63.6,"180,959   ",4.1
35,New Mexico,2007,4,"1,478,672   ","918,787   ",62.1,"886,126   ",59.9,"32,661   ",3.6
36,New York,2007,4,"15,171,921   ","9,484,728   ",62.5,"9,079,753   ",59.8,"404,975   ",4.3
37,North Carolina,2007,4,"6,848,364   ","4,516,257   ",65.9,"4,294,922   ",62.7,"221,335   ",4.9
38,North Dakota,2007,4,"495,243   ","367,044   ",74.1,"356,032   ",71.9,"11,012   ",3.0
39,Ohio,2007,4,"8,890,662   ","6,019,476   ",67.7,"5,686,963   ",64.0,"332,513   ",5.5
40,Oklahoma,2007,4,"2,711,001   ","1,723,712   ",63.6,"1,653,537   ",61.0,"70,175   ",4.1
41,Oregon,2007,4,"2,915,785   ","1,905,062   ",65.3,"1,810,393   ",62.1,"94,669   ",5.0
42,Pennsylvania,2007,4,"9,815,062   ","6,324,317   ",64.4,"6,048,045   ",61.6,"276,272   ",4.4
44,Rhode Island,2007,4,"837,293   ","570,999   ",68.2,"544,147   ",65.0,"26,852   ",4.7
45,South Carolina,2007,4,"3,359,975   ","2,162,781   ",64.4,"2,031,551   ",60.5,"131,230   ",6.1
46,South Dakota,2007,4,"603,195   ","435,857   ",72.3,"423,544   ",70.2,"12,313   ",2.8
47,Tennessee,2007,4,"4,745,983   ","3,039,561   ",64.0,"2,908,711   ",61.3,"130,850   ",4.3
48,Texas,2007,4,"17,315,600   ","11,405,711   ",65.9,"10,910,668   ",63.0,"495,043   ",4.3
49,Utah,2007,4,"1,878,974   ","1,372,517   ",73.0,"1,338,904   ",71.3,"33,613   ",2.4
50,Vermont,2007,4,"501,644   ","354,210   ",70.6,"340,469   ",67.9,"13,741   ",3.9
51,Virginia,2007,4,"5,843,053   ","4,021,773   ",68.8,"3,895,919   ",66.7,"125,854   ",3.1
53,Washington,2007,4,"4,987,100   ","3,383,635   ",67.8,"3,231,633   ",64.8,"152,002   ",4.5
54,West Virginia,2007,4,"1,443,284   ","801,602   ",55.5,"763,516   ",52.9,"38,086   ",4.8
55,Wisconsin,2007,4,"4,350,635   ","3,084,013   ",70.9,"2,937,255   ",67.5,"146,758   ",4.8
56,Wyoming,2007,4,"401,915   ","289,584   ",72.1,"282,060   ",70.2,"7,524   ",2.6
1,Alabama,2007,5,"3,553,057   ","2,177,514   ",61.3,"2,091,810   ",58.9,"85,704   ",3.9
2,Alaska,2007,5,"495,225   ","349,067   ",70.5,"327,322   ",66.1,"21,745   ",6.2
4,Arizona,2007,5,"4,745,562   ","3,010,820   ",63.4,"2,902,959   ",61.2,"107,861   ",3.6
5,Arkansas,2007,5,"2,163,259   ","1,349,262   ",62.4,"1,276,423   ",59.0,"72,839   ",5.4
6,California,2007,5,"27,228,543   ","17,864,179   ",65.6,"16,945,471   ",62.2,"918,708   ",5.1
8,Colorado,2007,5,"3,683,212   ","2,671,638   ",72.5,"2,580,013   ",70.0,"91,625   ",3.4
9,Connecticut,2007,5,"2,704,965   ","1,852,382   ",68.5,"1,771,872   ",65.5,"80,510   ",4.3
10,Delaware,2007,5,"666,703   ","444,108   ",66.6,"428,254   ",64.2,"15,854   ",3.6
11,District of Columbia,2007,5,"472,742   ","324,944   ",68.7,"305,707   ",64.7,"19,237   ",5.9
12,Florida,2007,5,"14,318,164   ","9,104,735   ",63.6,"8,826,525   ",61.6,"278,210   ",3.1
13,Georgia,2007,5,"7,055,680   ","4,793,806   ",67.9,"4,564,652   ",64.7,"229,154   ",4.8
15,Hawaii,2007,5,"967,396   ","635,993   ",65.7,"619,428   ",64.0,"16,565   ",2.6
16,Idaho,2007,5,"1,109,395   ","754,736   ",68.0,"733,266   ",66.1,"21,470   ",2.8
17,Illinois,2007,5,"9,733,064   ","6,612,003   ",67.9,"6,288,680   ",64.6,"323,323   ",4.9
18,Indiana,2007,5,"4,830,704   ","3,191,090   ",66.1,"3,049,045   ",63.1,"142,045   ",4.5
19,Iowa,2007,5,"2,303,875   ","1,658,248   ",72.0,"1,597,178   ",69.3,"61,070   ",3.7
20,Kansas,2007,5,"2,094,137   ","1,482,871   ",70.8,"1,420,764   ",67.8,"62,107   ",4.2
21,Kentucky,2007,5,"3,269,599   ","2,035,221   ",62.2,"1,927,722   ",59.0,"107,499   ",5.3
22,Louisiana,2007,5,"3,279,938   ","2,020,880   ",61.6,"1,934,816   ",59.0,"86,064   ",4.3
23,Maine,2007,5,"1,055,909   ","698,469   ",66.1,"666,311   ",63.1,"32,158   ",4.6
24,Maryland,2007,5,"4,321,081   ","2,979,361   ",68.9,"2,869,725   ",66.4,"109,636   ",3.7
25,Massachusetts,2007,5,"5,127,404   ","3,431,323   ",66.9,"3,277,616   ",63.9,"153,707   ",4.5
26,Michigan,2007,5,"7,774,209   ","4,994,572   ",64.2,"4,648,398   ",59.8,"346,174   ",6.9
27,Minnesota,2007,5,"4,007,656   ","2,897,960   ",72.3,"2,767,511   ",69.1,"130,449   ",4.5
28,Mississippi,2007,5,"2,169,389   ","1,288,212   ",59.4,"1,208,301   ",55.7,"79,911   ",6.2
29,Missouri,2007,5,"4,526,429   ","3,052,676   ",67.4,"2,902,173   ",64.1,"150,503   ",4.9
30,Montana,2007,5,"749,055   ","503,837   ",67.3,"487,924   ",65.1,"15,913   ",3.2
31,Nebraska,2007,5,"1,340,978   ","976,883   ",72.8,"948,707   ",70.7,"28,176   ",2.9
32,Nevada,2007,5,"1,932,909   ","1,339,270   ",69.3,"1,280,394   ",66.2,"58,876   ",4.4
33,New Hampshire,2007,5,"1,041,546   ","737,348   ",70.8,"711,043   ",68.3,"26,305   ",3.6
34,New Jersey,2007,5,"6,680,436   ","4,424,305   ",66.2,"4,242,385   ",63.5,"181,920   ",4.1
35,New Mexico,2007,5,"1,480,386   ","918,348   ",62.0,"886,059   ",59.9,"32,289   ",3.5
36,New York,2007,5,"15,179,310   ","9,484,366   ",62.5,"9,073,042   ",59.8,"411,324   ",4.3
37,North Carolina,2007,5,"6,861,758   ","4,518,158   ",65.8,"4,294,750   ",62.6,"223,408   ",4.9
38,North Dakota,2007,5,"495,393   ","366,908   ",74.1,"355,846   ",71.8,"11,062   ",3.0
39,Ohio,2007,5,"8,893,985   ","6,019,240   ",67.7,"5,683,902   ",63.9,"335,338   ",5.6
40,Oklahoma,2007,5,"2,713,002   ","1,721,952   ",63.5,"1,652,156   ",60.9,"69,796   ",4.1
41,Oregon,2007,5,"2,919,845   ","1,904,550   ",65.2,"1,809,031   ",62.0,"95,519   ",5.0
42,Pennsylvania,2007,5,"9,819,965   ","6,326,189   ",64.4,"6,048,133   ",61.6,"278,056   ",4.4
44,Rhode Island,2007,5,"837,291   ","570,461   ",68.1,"543,171   ",64.9,"27,290   ",4.8
45,South Carolina,2007,5,"3,365,566   ","2,157,889   ",64.1,"2,028,383   ",60.3,"129,506   ",6.0
46,South Dakota,2007,5,"603,847   ","435,799   ",72.2,"423,522   ",70.1,"12,277   ",2.8
47,Tennessee,2007,5,"4,751,300   ","3,036,040   ",63.9,"2,905,735   ",61.2,"130,305   ",4.3
48,Texas,2007,5,"17,343,816   ","11,406,369   ",65.8,"10,913,440   ",62.9,"492,929   ",4.3
49,Utah,2007,5,"1,883,565   ","1,374,601   ",73.0,"1,340,503   ",71.2,"34,098   ",2.5
50,Vermont,2007,5,"501,915   ","353,648   ",70.5,"339,909   ",67.7,"13,739   ",3.9
51,Virginia,2007,5,"5,848,525   ","4,023,984   ",68.8,"3,898,080   ",66.7,"125,904   ",3.1
53,Washington,2007,5,"4,994,344   ","3,388,302   ",67.8,"3,236,416   ",64.8,"151,886   ",4.5
54,West Virginia,2007,5,"1,443,637   ","801,447   ",55.5,"763,577   ",52.9,"37,870   ",4.7
55,Wisconsin,2007,5,"4,353,467   ","3,084,018   ",70.8,"2,936,652   ",67.5,"147,366   ",4.8
56,Wyoming,2007,5,"402,568   ","290,015   ",72.0,"282,297   ",70.1,"7,718   ",2.7
1,Alabama,2007,6,"3,555,840   ","2,176,642   ",61.2,"2,089,809   ",58.8,"86,833   ",4.0
2,Alaska,2007,6,"495,672   ","349,218   ",70.5,"327,344   ",66.0,"21,874   ",6.3
4,Arizona,2007,6,"4,756,223   ","3,009,749   ",63.3,"2,904,001   ",61.1,"105,748   ",3.5
5,Arkansas,2007,6,"2,165,134   ","1,348,840   ",62.3,"1,275,317   ",58.9,"73,523   ",5.5
6,California,2007,6,"27,250,665   ","17,884,308   ",65.6,"16,949,426   ",62.2,"934,882   ",5.2
8,Colorado,2007,6,"3,689,241   ","2,678,950   ",72.6,"2,585,195   ",70.1,"93,755   ",3.5
9,Connecticut,2007,6,"2,706,011   ","1,853,582   ",68.5,"1,772,394   ",65.5,"81,188   ",4.4
10,Delaware,2007,6,"667,547   ","444,095   ",66.5,"428,382   ",64.2,"15,713   ",3.5
11,District of Columbia,2007,6,"473,022   ","324,893   ",68.7,"305,688   ",64.6,"19,205   ",5.9
12,Florida,2007,6,"14,332,124   ","9,105,560   ",63.5,"8,817,098   ",61.5,"288,462   ",3.2
13,Georgia,2007,6,"7,069,217   ","4,799,738   ",67.9,"4,567,895   ",64.6,"231,843   ",4.8
15,Hawaii,2007,6,"968,049   ","634,988   ",65.6,"618,131   ",63.9,"16,857   ",2.7
16,Idaho,2007,6,"1,111,626   ","755,825   ",68.0,"733,862   ",66.0,"21,963   ",2.9
17,Illinois,2007,6,"9,738,987   ","6,626,590   ",68.0,"6,295,927   ",64.6,"330,663   ",5.0
18,Indiana,2007,6,"4,834,163   ","3,186,811   ",65.9,"3,044,087   ",63.0,"142,724   ",4.5
19,Iowa,2007,6,"2,305,187   ","1,658,520   ",71.9,"1,597,354   ",69.3,"61,166   ",3.7
20,Kansas,2007,6,"2,095,692   ","1,482,976   ",70.8,"1,420,851   ",67.8,"62,125   ",4.2
21,Kentucky,2007,6,"3,271,781   ","2,032,318   ",62.1,"1,924,641   ",58.8,"107,677   ",5.3
22,Louisiana,2007,6,"3,288,245   ","2,019,628   ",61.4,"1,934,783   ",58.8,"84,845   ",4.2
23,Maine,2007,6,"1,056,469   ","697,735   ",66.0,"665,225   ",63.0,"32,510   ",4.7
24,Maryland,2007,6,"4,323,615   ","2,980,361   ",68.9,"2,871,146   ",66.4,"109,215   ",3.7
25,Massachusetts,2007,6,"5,131,157   ","3,430,837   ",66.9,"3,277,367   ",63.9,"153,470   ",4.5
26,Michigan,2007,6,"7,775,181   ","4,990,740   ",64.2,"4,641,105   ",59.7,"349,635   ",7.0
27,Minnesota,2007,6,"4,011,308   ","2,897,126   ",72.2,"2,764,914   ",68.9,"132,212   ",4.6
28,Mississippi,2007,6,"2,170,706   ","1,288,461   ",59.4,"1,209,455   ",55.7,"79,006   ",6.1
29,Missouri,2007,6,"4,530,219   ","3,053,868   ",67.4,"2,900,452   ",64.0,"153,416   ",5.0
30,Montana,2007,6,"749,995   ","504,589   ",67.3,"487,728   ",65.0,"16,861   ",3.3
31,Nebraska,2007,6,"1,341,787   ","978,010   ",72.9,"949,273   ",70.7,"28,737   ",2.9
32,Nevada,2007,6,"1,937,559   ","1,342,122   ",69.3,"1,281,753   ",66.2,"60,369   ",4.5
33,New Hampshire,2007,6,"1,042,464   ","737,196   ",70.7,"711,311   ",68.2,"25,885   ",3.5
34,New Jersey,2007,6,"6,682,870   ","4,425,548   ",66.2,"4,242,159   ",63.5,"183,389   ",4.1
35,New Mexico,2007,6,"1,482,207   ","918,178   ",61.9,"886,182   ",59.8,"31,996   ",3.5
36,New York,2007,6,"15,187,439   ","9,488,494   ",62.5,"9,070,029   ",59.7,"418,465   ",4.4
37,North Carolina,2007,6,"6,875,476   ","4,522,298   ",65.8,"4,295,160   ",62.5,"227,138   ",5.0
38,North Dakota,2007,6,"495,569   ","366,881   ",74.0,"355,769   ",71.8,"11,112   ",3.0
39,Ohio,2007,6,"8,897,675   ","6,018,239   ",67.6,"5,679,913   ",63.8,"338,326   ",5.6
40,Oklahoma,2007,6,"2,715,153   ","1,720,786   ",63.4,"1,651,389   ",60.8,"69,397   ",4.0
41,Oregon,2007,6,"2,924,062   ","1,905,140   ",65.2,"1,807,945   ",61.8,"97,195   ",5.1
42,Pennsylvania,2007,6,"9,825,270   ","6,331,860   ",64.4,"6,050,019   ",61.6,"281,841   ",4.5
44,Rhode Island,2007,6,"837,306   ","570,163   ",68.1,"542,213   ",64.8,"27,950   ",4.9
45,South Carolina,2007,6,"3,371,281   ","2,153,733   ",63.9,"2,025,355   ",60.1,"128,378   ",6.0
46,South Dakota,2007,6,"604,538   ","435,880   ",72.1,"423,571   ",70.1,"12,309   ",2.8
47,Tennessee,2007,6,"4,756,801   ","3,035,028   ",63.8,"2,903,157   ",61.0,"131,871   ",4.3
48,Texas,2007,6,"17,373,223   ","11,411,196   ",65.7,"10,919,419   ",62.9,"491,777   ",4.3
49,Utah,2007,6,"1,888,192   ","1,376,750   ",72.9,"1,342,100   ",71.1,"34,650   ",2.5
50,Vermont,2007,6,"502,139   ","353,120   ",70.3,"339,337   ",67.6,"13,783   ",3.9
51,Virginia,2007,6,"5,854,226   ","4,028,150   ",68.8,"3,901,236   ",66.6,"126,914   ",3.2
53,Washington,2007,6,"5,001,907   ","3,394,186   ",67.9,"3,241,007   ",64.8,"153,179   ",4.5
54,West Virginia,2007,6,"1,444,019   ","802,046   ",55.5,"764,133   ",52.9,"37,913   ",4.7
55,Wisconsin,2007,6,"4,356,491   ","3,084,946   ",70.8,"2,936,311   ",67.4,"148,635   ",4.8
56,Wyoming,2007,6,"403,237   ","290,549   ",72.1,"282,594   ",70.1,"7,955   ",2.7
1,Alabama,2007,7,"3,558,681   ","2,176,801   ",61.2,"2,088,783   ",58.7,"88,018   ",4.0
2,Alaska,2007,7,"496,104   ","349,601   ",70.5,"327,600   ",66.0,"22,001   ",6.3
4,Arizona,2007,7,"4,766,960   ","3,010,496   ",63.2,"2,905,303   ",60.9,"105,193   ",3.5
5,Arkansas,2007,7,"2,167,028   ","1,348,878   ",62.2,"1,274,796   ",58.8,"74,082   ",5.5
6,California,2007,7,"27,272,732   ","17,909,056   ",65.7,"16,955,401   ",62.2,"953,655   ",5.3
8,Colorado,2007,7,"3,695,257   ","2,687,730   ",72.7,"2,590,676   ",70.1,"97,054   ",3.6
9,Connecticut,2007,7,"2,707,103   ","1,855,062   ",68.5,"1,772,917   ",65.5,"82,145   ",4.4
10,Delaware,2007,7,"668,413   ","444,306   ",66.5,"428,680   ",64.1,"15,626   ",3.5
11,District of Columbia,2007,7,"473,242   ","325,257   ",68.7,"306,040   ",64.7,"19,217   ",5.9
12,Florida,2007,7,"14,346,248   ","9,107,665   ",63.5,"8,808,067   ",61.4,"299,598   ",3.3
13,Georgia,2007,7,"7,082,742   ","4,807,351   ",67.9,"4,572,460   ",64.6,"234,891   ",4.9
15,Hawaii,2007,7,"968,654   ","634,347   ",65.5,"617,083   ",63.7,"17,264   ",2.7
16,Idaho,2007,7,"1,113,839   ","756,838   ",67.9,"734,072   ",65.9,"22,766   ",3.0
17,Illinois,2007,7,"9,744,901   ","6,643,166   ",68.2,"6,304,082   ",64.7,"339,084   ",5.1
18,Indiana,2007,7,"4,837,626   ","3,186,509   ",65.9,"3,041,603   ",62.9,"144,906   ",4.5
19,Iowa,2007,7,"2,306,506   ","1,659,537   ",72.0,"1,598,096   ",69.3,"61,441   ",3.7
20,Kansas,2007,7,"2,097,234   ","1,483,761   ",70.7,"1,421,335   ",67.8,"62,426   ",4.2
21,Kentucky,2007,7,"3,274,004   ","2,030,626   ",62.0,"1,922,179   ",58.7,"108,447   ",5.3
22,Louisiana,2007,7,"3,296,552   ","2,020,024   ",61.3,"1,937,021   ",58.8,"83,003   ",4.1
23,Maine,2007,7,"1,056,994   ","697,547   ",66.0,"664,650   ",62.9,"32,897   ",4.7
24,Maryland,2007,7,"4,326,118   ","2,983,555   ",69.0,"2,874,060   ",66.4,"109,495   ",3.7
25,Massachusetts,2007,7,"5,134,949   ","3,430,818   ",66.8,"3,277,176   ",63.8,"153,642   ",4.5
26,Michigan,2007,7,"7,776,164   ","4,988,759   ",64.2,"4,634,339   ",59.6,"354,420   ",7.1
27,Minnesota,2007,7,"4,014,920   ","2,896,892   ",72.2,"2,762,772   ",68.8,"134,120   ",4.6
28,Mississippi,2007,7,"2,172,054   ","1,289,829   ",59.4,"1,211,517   ",55.8,"78,312   ",6.1
29,Missouri,2007,7,"4,533,977   ","3,056,144   ",67.4,"2,899,507   ",64.0,"156,637   ",5.1
30,Montana,2007,7,"750,920   ","505,402   ",67.3,"487,649   ",64.9,"17,753   ",3.5
31,Nebraska,2007,7,"1,342,569   ","979,315   ",72.9,"949,989   ",70.8,"29,326   ",3.0
32,Nevada,2007,7,"1,942,229   ","1,345,169   ",69.3,"1,283,216   ",66.1,"61,953   ",4.6
33,New Hampshire,2007,7,"1,043,343   ","737,155   ",70.7,"711,665   ",68.2,"25,490   ",3.5
34,New Jersey,2007,7,"6,685,308   ","4,428,637   ",66.2,"4,243,568   ",63.5,"185,069   ",4.2
35,New Mexico,2007,7,"1,484,068   ","918,496   ",61.9,"886,585   ",59.7,"31,911   ",3.5
36,New York,2007,7,"15,195,561   ","9,497,120   ",62.5,"9,071,651   ",59.7,"425,469   ",4.5
37,North Carolina,2007,7,"6,889,205   ","4,527,639   ",65.7,"4,295,905   ",62.4,"231,734   ",5.1
38,North Dakota,2007,7,"495,748   ","366,973   ",74.0,"355,826   ",71.8,"11,147   ",3.0
39,Ohio,2007,7,"8,901,395   ","6,016,911   ",67.6,"5,676,080   ",63.8,"340,831   ",5.7
40,Oklahoma,2007,7,"2,717,277   ","1,720,470   ",63.3,"1,651,470   ",60.8,"69,000   ",4.0
41,Oregon,2007,7,"2,928,298   ","1,907,026   ",65.1,"1,807,857   ",61.7,"99,169   ",5.2
42,Pennsylvania,2007,7,"9,830,577   ","6,340,420   ",64.5,"6,053,546   ",61.6,"286,874   ",4.5
44,Rhode Island,2007,7,"837,317   ","570,143   ",68.1,"541,420   ",64.7,"28,723   ",5.0
45,South Carolina,2007,7,"3,377,018   ","2,150,443   ",63.7,"2,022,616   ",59.9,"127,827   ",5.9
46,South Dakota,2007,7,"605,214   ","436,076   ",72.1,"423,684   ",70.0,"12,392   ",2.8
47,Tennessee,2007,7,"4,762,302   ","3,036,405   ",63.8,"2,900,885   ",60.9,"135,520   ",4.5
